,BlobID,Compound.Name,Library.Name,Library.Match.Factor,Library.Reverse.Match.Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Benzothiazole,Thiol,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,Identifiable,tic,cluster_assigned,totorgnorm_cumsum,isnormnormptnorm_cumsum,quantcumsum,quant_pct,quant_pct_cumulative,rownum,cluster_factor_types,cluster_group,order,cluster_factor_types.f
192,949,20200803_1535_blob_949_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2724.271845,NA,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",770,818,NA,C30H52O2,444,NA,NA,NA,NA,NA,1,2,0.024692378,9042.130303,10.08556136,0.000759687,0.904445321,118,Anthro1,Anthropogenic,1,Anthro1
144,1005,20200803_1535_blob_1005_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2644.660194,NA,"Benz[a]anthracene, 7-methyl-",801,868,2669,C19H14,242,NA,NA,NA,NA,TRUE,1,2,NA,8228.889707,9.957089801,0.00075001,0.905949586,120,Anthro1,Anthropogenic,1,Anthro1
365,759,20200803_1535_blob_759_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2412.612613,NA,"Pyrene, 1,3-dimethyl-",707,873,NA,C18H14,230,NA,NA,NA,NA,NA,1,2,NA,16386.42804,9.870390467,0.00074348,0.906693066,121,Anthro1,Anthropogenic,1,Anthro1
197,709,20200803_1535_blob_709_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2355,NA,"Phenanthrene, 3,4,5,6-tetramethyl-",768,894,NA,C18H18,234,NA,NA,NA,NA,NA,1,2,NA,14878.896,9.191503129,0.000692343,0.913075686,130,Anthro1,Anthropogenic,1,Anthro1
384,27,20200803_1535_blob_27_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1880.555556,NA,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",702,710,NA,C16H50O7Si8,578,NA,NA,NA,NA,NA,1,2,NA,27105.18566,9.150766897,0.000689275,0.91376496,131,Anthro1,Anthropogenic,1,Anthro1
153,756,20200803_1535_blob_756_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2623.300971,NA,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",794,830,NA,C30H52O2,444,NA,NA,NA,NA,NA,1,2,0.053876729,15107.27678,8.872956068,0.000668349,0.914433309,132,Anthro1,Anthropogenic,1,Anthro1
155,730,20200803_1535_blob_730_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2432.432432,NA,"Pyrene, 1,3-dimethyl-",793,907,NA,C18H14,230,NA,NA,NA,NA,NA,1,2,0.03865659,12723.00532,8.822327948,0.000664535,0.915097844,133,Anthro1,Anthropogenic,1,Anthro1
584,820,20200803_1535_blob_820_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2466.666667,NA,"Pyrene, 1,3-dimethyl-",653,862,NA,C18H14,230,NA,NA,NA,NA,NA,1,2,0.034474829,11716.09408,8.413368897,0.000633731,0.916385293,135,Anthro1,Anthropogenic,1,Anthro1
698,716,20200803_1535_blob_716_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1800,NA,"2-(2-Azepan-1-yl-2-oxoethyl)-1-hydroxy-1-phenyl-octahydro-pyrido[1,2-a]azepin-4-one",609,614,NA,C24H34N2O3,398,NA,NA,NA,NA,NA,1,2,NA,13858.84673,8.29341799,0.000624695,0.917009988,136,Anthro1,Anthropogenic,1,Anthro1
284,831,20200803_1535_blob_831_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2265,NA,Phorbol,735,736,NA,C20H28O6,364,NA,NA,NA,NA,NA,1,2,0.031913587,11006.64285,8.189812575,0.000616891,0.91762688,137,Anthro1,Anthropogenic,1,Anthro1
