Compound.Name,Mixed_Aggregates_pct,Diatom_Dominated_Aggregates_pct,Dinoflagellates_pct,Microzooplankton_pct,Diatoms_pct,Haptophytes_pct,Cell_Numbers,Mixed_Aggregates,Diatom_Dominated_Aggregates,Dinoflagellates,Microzooplankton,Diatoms,Haptophytes,HB_cells_L,Virus_L,Chlor_a
20200803_0949_blob_1061_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1063_,-0.387217498,0.405542305,-0.329525216,0.795608909,-0.18147888,0.513443223,0.126817527,-0.163130264,0.142537371,-0.068389879,0.806631608,-0.035865879,0.561182328,0.3960672,0.708124399,0.028107957
20200803_0949_blob_1071_,-0.263719689,0.524930864,-0.176765893,-0.346527246,0.195038819,-0.274347165,0.47250226,-0.182676893,0.553005922,0.370720268,-0.290876649,0.44905828,-0.174290363,0.019601831,-0.125177535,0.12383599
20200803_0949_blob_1072_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1082_,-0.134288048,0.085946765,-0.074187891,0.460573925,-0.184091851,0.489751141,-0.020237772,-0.147884248,-0.01794565,-0.056163776,0.393570442,-0.101201553,0.495390784,0.106440554,0.41781214,-0.160582541
20200803_0949_blob_1089_,-0.31645617,-0.170681669,-0.233669733,-0.288448417,0.058677291,-0.204955871,-0.038542489,-0.52051552,-0.048012859,-0.289781391,-0.259588268,0.003722468,-0.210313195,-0.246636705,-0.293345147,-0.273979419
20200803_0949_blob_1097_oil,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1098_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1102_oil,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1105_,-0.342745229,-0.126298706,-0.194131048,-0.349806063,0.035875519,-0.260019961,-0.026193502,-0.520337551,-0.021803149,-0.162313122,-0.326125227,-0.0106979,-0.281207817,-0.146811891,-0.231671393,-0.154966013
20200803_0949_blob_1107_oil,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1112_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1115_,0.235211685,0.338755624,-0.193098371,-0.030988632,-0.226668557,-0.273934254,0.246751862,0.067726313,0.415298428,0.108476429,0.080162805,0.09188864,-0.169911197,-0.143617208,0.05693897,-0.140330522
