Compound.Name,Mixed_Aggregates_pct,Diatom_Dominated_Aggregates_pct,Dinoflagellates_pct,Microzooplankton_pct,Diatoms_pct,Haptophytes_pct
20200803_0949_blob_954_,-0.343226528,0.520540165,-0.357737517,0.178013733,0.076569323,0.101635244
20200803_0949_blob_835_,0.254715281,0.280750762,-0.29393906,0.175694448,-0.305079426,0.217758668
20200803_0949_blob_620_,-0.523822693,0.820072358,-0.506520691,0.171495374,0.068338571,0.323289831
20200803_0949_blob_688_,-0.631022773,0.814328604,-0.606914686,0.162076608,0.374033021,0.343397069
20200803_1535_blob_804_,-0.766356108,0.724258205,-0.580177678,0.159347277,0.195195075,0.179624993
20200803_0949_blob_981_,0.19164246,-0.213234136,0.311419965,0.141114204,-0.449885996,0.088704863
20200803_0949_blob_794_,-0.286844361,0.65961632,-0.663530449,0.134701103,0.389051009,0.17185362
20200803_1535_blob_639_oil,0.027331323,-0.151813448,0.312754897,0.118734525,0.030872435,-0.041988232
20200803_0949_blob_829_,-0.210455341,0.478789624,-0.439382689,0.096046249,0.477709731,0.304735175
20200803_0949_blob_788_oil,-0.458894906,0.745642618,-0.315251604,0.086123478,-0.008585541,0.221497711
20200803_0949_blob_709_oil,-0.526890474,0.118585552,-0.358618763,0.086048868,-0.192856765,0.168733898
20200803_0949_blob_947_,-0.648559308,0.573987995,-0.850236423,0.066368146,0.325797585,0.119230814
20200803_1535_blob_1067_,0.033012494,-0.074745891,0.174710482,0.065320879,-0.3025366,0.226239579
20200803_0949_blob_793_,-0.410765079,0.589858043,-0.408392308,0.063666804,0.08945534,0.393320191
20200803_0949_blob_1273_,0.096024094,-0.361791395,-0.018504738,0.049023036,-0.060810316,-0.271716859
20200803_0949_blob_1477_,-0.143227505,0.060441237,-0.289103864,0.012491423,-0.047049874,0.301017733
20200803_0949_blob_734_oil,-0.40565815,0.793492563,-0.269765856,0.006309635,-0.047722591,-0.041472522
20200803_0949_blob_871_,-0.230824586,0.267019408,-0.252447118,0.005220955,0.256994301,0.084876224
20200803_1535_blob_946_,0.020662822,-0.247321618,0.250240328,-0.007558258,0.191176046,-0.0656246
20200803_0949_blob_831_,-0.167011598,0.401785866,-0.366280601,-0.013400912,0.492582616,0.249105131
20200803_0949_blob_704_,-0.435832362,0.754663235,-0.349176975,-0.016151027,0.097617968,-0.048281448
20200803_1535_blob_30_,0.513852527,-0.78052136,0.448124277,-0.022741422,-0.514633405,-0.276559664
20200803_0949_blob_1115_,0.235211685,0.338755624,-0.193098371,-0.030988632,-0.226668557,-0.273934254
20200803_1535_blob_1064_,0.121161115,-0.311090363,0.371647073,-0.03136775,0.128241588,-0.146465509
20200803_1535_blob_865_,0.121161115,-0.311090363,0.371647073,-0.03136775,0.128241588,-0.146465509
20200803_1535_blob_500_,-0.306656382,0.470256186,-0.154156147,-0.041283057,-0.042140077,0.078682488
20200803_1535_blob_664_,0.135716698,-0.33608206,0.399308047,-0.041600612,0.109794618,-0.160595881
20200803_1535_blob_1341_,0.300303898,-0.630956694,0.179611537,-0.042320071,-0.345982158,-0.19238543
20200803_0949_blob_750_,-0.037315897,-0.119811344,0.227324213,-0.046226072,0.293421647,-0.107665456
20200803_1535_blob_712_,0.109508578,-0.251252589,0.113549359,-0.058022824,0.172135667,-0.135765444
20200803_0949_blob_724_,-0.753441773,0.866367854,-0.624400624,-0.060810598,0.281589795,0.209874167
20200803_1535_blob_9_,-0.553748542,0.732781431,-0.511065012,-0.06573212,0.516256892,0.132216534
20200803_0949_blob_767_oil,-0.375223497,-0.060173827,-0.054833497,-0.068827293,-0.260322748,0.118589896
20200803_1535_blob_848_,0.139302723,-0.349983893,0.215184306,-0.071619553,0.457985365,-0.314606842
20200803_1535_blob_484_oil,-0.179965077,-0.394759079,0.078446367,-0.072743067,0.022734424,-0.229006656
20200803_1535_blob_651_,0.186394318,-0.305164278,0.027777444,-0.075006707,-0.455243503,-0.133556556
20200803_1535_blob_642_oil,-0.127414087,-0.117827678,-0.151115248,-0.076428978,0.598078561,-0.112502693
20200803_1535_blob_724_oil,0.534942319,-0.495761494,0.341917048,-0.081925953,-0.046802769,-0.213590619
20200803_1535_blob_858_,0.554683979,-0.500619649,0.334649286,-0.084083378,-0.057914637,-0.214843005
20200803_1535_blob_1136_,0.55899998,-0.501593704,0.332930069,-0.084549368,-0.060405454,-0.215073361
20200803_1535_blob_650_oil,0.247198782,-0.069579903,0.506340853,-0.084851155,-0.178532872,-0.184805064
20200803_0949_blob_766_,-0.528161614,0.679909596,-0.298632523,-0.087821806,0.507368002,-0.02775827
20200803_1535_blob_1377_,0.697956283,-0.378869828,0.049552943,-0.089622143,-0.248209524,-0.146465509
20200803_0949_blob_816_,-0.367889173,0.686869969,-0.221005642,-0.09303933,0.037322121,-0.096479555
20200803_0949_blob_998_,-0.316664598,0.496162813,-0.263996626,-0.096066687,0.183982997,-0.03770799
20200803_0949_blob_702_,-0.29655427,0.57310951,-0.288191198,-0.098023141,0.100547039,-0.164299959
20200803_0949_blob_822_,-0.094282433,0.072261577,0.188737098,-0.098211952,0.176127539,-0.145332527
20200803_0949_blob_905_,-0.444585559,0.710862042,-0.332121679,-0.106471202,0.092455484,0.243977185
Mixed_Aggregates_pct,1,-0.664096705,0.714505173,-0.108281309,-0.489856633,-0.329924228
20200803_0949_blob_753_oil,-0.4589825,0.757394714,-0.329978672,-0.116350799,0.062253073,0.259212736
