,Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,,best_corr,cluster,BlobID,Library.Name,Library.Match.Factor,Library.Reverse.Match.Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Benzothiazole,Thiol,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,Identifiable,tic
26,20200803_0949_blob_636_,-0.207805826,0.347156548,-0.089004213,-0.253506901,0.904905304,-0.32820932,0.734487282,0.414923353,0.904905304,F5,NA,636,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1881.690141,NA,Epistephamiersine,665,765,NA,C21H27NO6,389,NA,NA,NA,NA,NA,1
27,20200803_0949_blob_649_,0.348599572,-0.446478007,0.181773258,-0.31219534,-0.179862822,-0.186232199,-0.334260731,-0.029960979,0.348599572,F1,NA,649,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1646.835443,NA,"D-Erythro-Pentopyranose, 2-deoxy-1,3,4-tris-O-(trimethylsilyl)-",751,767,NA,C14H34O4Si3,350,NA,NA,NA,NA,NA,1
28,20200803_0949_blob_660_,0.724535341,-0.791171636,-0.143889534,-0.586540311,-0.359642745,0.059054859,-0.61686071,-0.034891304,0.724535341,F1,NA,660,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1994.366197,NA,"6,7-Dibromo-Z-11-tetradecene-1-ol acetate",650,675,NA,C16H28Br2O2,410,NA,NA,NA,NA,NA,1
29,20200803_0949_blob_663_,0.619465081,-0.744291205,0.424232981,-0.509916686,-0.291028673,-0.157433099,-0.500203589,-0.315504387,0.619465081,F1,NA,663,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1726.582278,NA,"Furo[3,2-c]quinoline, 2,3-dihydro-2,4-dimethyl-",623,676,NA,C13H13NO,199,NA,NA,NA,NA,NA,1
30,20200803_0949_blob_671_,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,20200803_0949_blob_676_,0.774095096,-0.824075177,0.200908532,-0.594467115,-0.308798873,-0.043242051,-0.592559634,-0.149674988,0.774095096,F1,NA,676,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2024.615385,NA,1-Heptatriacotanol,709,716,NA,C37H76O,536,NA,NA,NA,NA,NA,1
32,20200803_0949_blob_688_,0.609000739,-0.69765844,0.445901084,-0.130239,-0.577230929,0.259436875,-0.768657665,-0.433480741,0.609000739,F1,NA,688,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1956.338028,NA,"Cyclopropanebutanoic acid, 2-[[2-[[2-[(2-pentylcyclopropyl)methyl]cyclopropyl]methyl]cyclopropyl]methyl]-, methyl ester",720,732,NA,C25H42O2,374,NA,NA,NA,NA,NA,1
33,20200803_0949_blob_696_,0.363944933,-0.423121758,0.609902418,-0.225434069,-0.183119095,-0.111891024,-0.291866366,-0.383575789,0.609902418,F3,NA,696,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1976.056338,NA,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",714,786,NA,C20H34O2,306,NA,NA,NA,NA,NA,1
34,20200803_0949_blob_699_,0.168371079,-0.238172834,0.651855612,0.319779011,-0.441622029,0.189725609,-0.435141788,-0.531124794,0.651855612,F3,NA,699,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2107.692308,NA,"1-Butanol, 4-(hexyloxy)-",633,804,NA,C10H22O2,174,NA,NA,NA,NA,NA,1
35,20200803_0949_blob_701_,-0.035688586,-0.038975502,0.662528421,0.175921589,-0.156153789,-0.146870776,-0.091693179,-0.328841215,0.662528421,F3,3,701,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1318.73589,NA,"3-Methyl-2-furoic acid, TMS derivative",702,728,NA,C9H14O3Si,198,NA,NA,NA,NA,NA,1
