Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,best_corr,cluster_assigned,cluster_assigned_btz
20200803_1535_blob_1054_,-0.831163455,0.917228669,-0.29621046,0.664619526,0.298031962,0.845889664,-0.115492015,0.250244057,F2,2,2
20200803_1535_blob_1055_oil,-0.693901377,0.711306005,-0.032589899,0.473607458,0.479742986,0.263119875,0.142159772,0.012206398,F2,2,2
20200803_1535_blob_1056_,-0.474845106,0.696083241,-0.340133246,0.327816132,0.104948823,0.688136527,0.03270714,0.548191654,F2,2,2
20200803_1535_blob_1057_,-0.687895419,0.818323303,-0.13227109,0.245865264,0.493960364,0.437519927,0.036036615,0.294724185,F2,2,2
20200803_1535_blob_1058_,-0.428607275,0.730806726,-0.294020933,-0.013207788,0.565399353,0.355204433,0.426344764,0.480238027,F2,2,2
20200803_1535_blob_1059_,-0.387918342,0.542595673,0.353988209,0.088133031,0.898146599,-0.109179108,0.524581189,-0.182001978,F5,5,5
20200803_1535_blob_106_fb,-0.366617185,0.405066183,0.159219959,-0.137950996,0.659240974,0.003717022,0.036579379,-0.058980805,F5,5,5
20200803_1535_blob_1063_,-0.709096495,0.848169086,-0.07560696,0.148351234,0.832016535,0.299836593,0.219115301,0.090956093,F2,2,2
20200803_1535_blob_1064_,-0.701681111,0.774514183,-0.035647338,0.276371754,0.641804062,0.28865561,0.053020209,0.003867882,F2,2,2
20200803_1535_blob_1065_oil,-0.772104711,0.890942629,-0.31900123,0.442453089,0.385003725,0.831570378,-0.155068808,0.310420324,F2,2,2
20200803_1535_blob_1067_,-0.515848889,0.664670075,-0.202176355,0.146690388,0.480116421,0.347342356,0.10911278,0.225444138,F2,2,2
20200803_1535_blob_1069_,-0.828061641,0.870602075,0.026880966,0.700472506,0.422727326,0.70952844,-0.15956342,0.03279798,F2,2,2
20200803_1535_blob_1070_oil,-0.639812381,0.767950406,-0.475062468,0.472834291,0.025097434,0.928450479,-0.228594891,0.534188059,F6,6,6
20200803_1535_blob_1072_oil,-0.691171256,0.813157324,-0.461354352,0.459543544,0.108743547,0.865117515,-0.203219207,0.484220943,F6,6,6
20200803_1535_blob_1073_,-0.775854399,0.903447223,-0.328294685,0.499485663,0.316630331,0.859693707,-0.153565726,0.370210779,F2,2,2
20200803_1535_blob_1075_,-0.907359271,0.97212036,-0.104709354,0.544288138,0.653083091,0.586427971,0.013342307,0.03353867,F2,2,2
20200803_1535_blob_1077_,-0.823805584,0.848099323,-0.058164046,0.664530125,0.512612766,0.506300199,0.030204602,-0.084133055,F2,2,2
20200803_1535_blob_1078_,-0.65999595,0.778544354,-0.485307274,0.5094993,0.03889953,0.960418427,-0.26251655,0.467131422,F6,6,6
20200803_1535_blob_1079_,-0.785443019,0.891381067,-0.150674182,0.423234578,0.471491047,0.530654172,0.010818682,0.228236962,F2,2,2
20200803_1535_blob_1080_,-0.783732961,0.879340329,0.070459075,0.407873815,0.753469576,0.36928115,0.135298411,-0.00036092,F2,2,2
20200803_1535_blob_1084_oil,-0.759819772,0.908642321,-0.289845865,0.455946243,0.391973566,0.803658718,-0.094762326,0.37855958,F2,2,2
20200803_1535_blob_1088_,-0.792735675,0.912596008,-0.035602394,0.374701421,0.695176615,0.445420705,0.109911642,0.140914362,F2,2,2
20200803_1535_blob_1089_,-0.824700887,0.912703182,-0.337264935,0.653031682,0.274918405,0.871306847,-0.151886684,0.273013776,F2,2,2
20200803_1535_blob_1090_,-0.333211451,0.382019513,0.413230075,0.230062181,0.546112067,-0.026848199,0.096948558,-0.319444976,F5,5,5
20200803_1535_blob_1091_,-0.826198175,0.845733016,0.108963486,0.446277417,0.735627533,0.282776942,0.12218583,-0.12176861,F2,2,2
