Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,best_corr,cluster_assigned
20200803_1535_blob_13_,-0.349655216,0.508443473,-0.309824215,-0.200578864,0.981878867,-0.320914114,0.860489529,0.4905294,F5,5
20200803_1535_blob_1349_,-0.350554808,0.528353076,-0.338093146,-0.24583696,0.949176494,-0.30520771,0.890508781,0.536673966,F5,5
20200803_1535_blob_18_,-0.216492373,0.308281393,-0.200277002,-0.403282575,0.9425484,-0.427726974,0.760070226,0.361865201,F5,5
20200803_1535_blob_5_fb,-0.32908396,0.483974032,-0.306069503,-0.229808567,0.983373309,-0.328267536,0.850058197,0.477994781,F5,5
20200803_1535_blob_7_,-0.329615612,0.4778887,-0.304800092,-0.21990031,0.987804579,-0.331854043,0.839091655,0.468098181,F5,5
20200803_1535_blob_1046_,0.115619434,0.024321885,-0.017996387,0.147549229,-0.123837792,0.712729726,-0.046570962,0.255863442,F6,6
20200803_1535_blob_651_,0.148842161,0.122882505,0.014353091,0.271603283,-0.391886068,0.564789496,-0.162002743,0.290720922,F6,6
20200803_1535_blob_712_,0.322599415,-0.073431381,-0.313308306,-0.05238094,-0.095022186,0.835476619,-0.182805827,0.405621822,F6,6
20200803_1535_blob_9_,0.101535573,-0.030308885,0.265729632,0.339720154,-0.433781854,0.744979885,-0.338775617,-0.282126751,F6,6
20200803_1535_blob_1052_,-0.522438973,0.702580131,-0.258846363,0.044656276,0.776051988,-0.170848556,0.930350993,0.512054551,F7,7
20200803_1535_blob_1174_,-0.58764499,0.538392755,0.268798879,0.168767426,0.348189581,-0.214674964,0.670063902,-0.078335655,F7,7
20200803_1535_blob_2_,-0.468581205,0.645238954,-0.318050012,-0.112850169,0.935366701,-0.283481339,0.944434275,0.531611288,F7,7
20200803_1535_blob_29_oil,-0.648598259,0.809213198,-0.166022991,0.16037981,0.815049872,-0.195923309,0.969720089,0.406017524,F7,7
20200803_1535_blob_398_,-0.526223038,0.675266721,-0.25231569,-0.067330197,0.817887438,-0.260058199,0.945119949,0.512670609,F7,7
20200803_1535_blob_443_oil,-0.45272023,0.660866998,-0.140020505,-0.039815172,0.730499842,-0.170198833,0.901618316,0.522569771,F7,7
20200803_1535_blob_521_oil,-0.713623431,0.812497256,-0.04313374,0.255940546,0.654822657,-0.142303408,0.907000536,0.205751411,F7,7
20200803_1535_blob_579_oil,-0.648135068,0.763059829,-0.230190689,0.166431237,0.833380216,-0.268033435,0.917382962,0.394329515,F7,7
20200803_1535_blob_638_oil,-0.615804505,0.768211941,-0.368979927,0.084662864,0.693493293,-0.181478466,0.901362293,0.525773072,F7,7
20200803_1535_blob_649_oil,-0.595552989,0.707337176,-0.151062717,0.095744334,0.749361057,-0.272757797,0.866656488,0.305519515,F7,7
20200803_1535_blob_658_oil,-0.635981732,0.787084748,-0.262690051,0.18680078,0.788097447,-0.196684409,0.924551972,0.439157379,F7,7
20200803_1535_blob_665_oil,-0.76324759,0.902625534,-0.148900768,0.296225342,0.75938175,-0.160779635,0.960594176,0.347057154,F7,7
20200803_1535_blob_672_oil,-0.643111681,0.717302208,0.064487514,0.215598531,0.688822081,-0.246203939,0.880104669,0.148845712,F7,7
20200803_1535_blob_675_oil,-0.641075515,0.756840249,-0.074731919,0.082174517,0.861963807,-0.261589841,0.955441431,0.306913096,F7,7
20200803_1535_blob_707_oil,-0.79461415,0.807041158,-0.11364937,0.263112512,0.70870262,-0.364506668,0.921843183,0.154935859,F7,7
20200803_1535_blob_741_,-0.66188398,0.719100912,-0.263261543,0.208659584,0.659270738,-0.294832616,0.825071059,0.341010159,F7,7
20200803_1535_blob_1341_,-0.334577759,0.631229367,-0.510909006,0.151272118,0.468395056,0.146372715,0.60865795,0.749037703,F8,8
20200803_1535_blob_143_,0.01571571,0.371469681,-0.391780279,-0.160520077,0.512239978,0.241964839,0.53279431,0.840240415,F8,8
20200803_1535_blob_763_,0.400657584,-0.137430323,-0.789996958,-0.571998241,0.2705434,0.092431351,0.121512306,0.850026638,F8,8
20200803_1535_blob_843_,0.584034899,-0.301989171,-0.585689513,-0.586618222,0.215004406,0.283178465,-0.003156808,0.819029896,F8,8
20200803_0949_blob_1140_,0.902658891,-0.776628623,-0.038153364,-0.578886549,-0.322279882,0.182548312,-0.648239839,0.144509531,F1,1
20200803_0949_blob_1303_,0.752477642,-0.499684488,-0.510985306,-0.427580873,-0.208974941,0.492905016,-0.50117492,0.475688871,F1,1
20200803_0949_blob_1730_,0.682332082,-0.442379744,-0.445593079,-0.375205605,-0.184328064,0.63127475,-0.436892957,0.478463807,F1,1
20200803_0949_blob_18_,0.582922471,-0.676696399,0.540598461,-0.413286079,-0.291276657,-0.100627412,-0.499671967,-0.344448961,F1,1
20200803_0949_blob_620_,0.833011745,-0.890172916,0.186907503,-0.636399738,-0.348743753,-0.059787875,-0.646651261,-0.126087938,F1,1
20200803_0949_blob_649_,0.348599572,-0.446478007,0.181773258,-0.31219534,-0.179862822,-0.186232199,-0.334260731,-0.029960979,F1,1
20200803_0949_blob_660_,0.724535341,-0.791171636,-0.143889534,-0.586540311,-0.359642745,0.059054859,-0.61686071,-0.034891304,F1,1
20200803_0949_blob_663_,0.619465081,-0.744291205,0.424232981,-0.509916686,-0.291028673,-0.157433099,-0.500203589,-0.315504387,F1,1
20200803_0949_blob_676_,0.774095096,-0.824075177,0.200908532,-0.594467115,-0.308798873,-0.043242051,-0.592559634,-0.149674988,F1,1
20200803_0949_blob_688_,0.609000739,-0.69765844,0.445901084,-0.130239,-0.577230929,0.259436875,-0.768657665,-0.433480741,F1,1
20200803_0949_blob_709_oil,0.464360474,-0.412516468,-0.204868244,-0.688931254,0.144130433,-0.288517359,-0.039952615,0.236945425,F1,1
20200803_0949_blob_715_oil,0.844074633,-0.915152769,0.050217167,-0.674472539,-0.374083903,-0.047728598,-0.670123278,-0.107507771,F1,1
20200803_0949_blob_724_,0.439037458,-0.495738785,0.261756047,-0.541872401,0.230027748,-0.29949349,-0.127555782,-0.206452748,F1,1
20200803_0949_blob_734_oil,0.753577949,-0.829364263,0.201808979,-0.563953878,-0.350006675,-0.154211212,-0.595424089,-0.193802878,F1,1
20200803_0949_blob_741_oil,0.611758586,-0.638919837,-0.018954079,-0.27821114,-0.439514424,-0.006677187,-0.564323581,-0.062102006,F1,1
20200803_0949_blob_745_,0.581163308,-0.684035349,0.413200603,-0.094455639,-0.614152592,0.22380977,-0.789936344,-0.426254889,F1,1
20200803_0949_blob_767_oil,0.564161468,-0.457596517,-0.10179792,-0.66071469,0.035251285,-0.02496689,-0.125550297,0.255429782,F1,1
20200803_0949_blob_779_oil,0.270496059,-0.359163404,-0.055975617,-0.070875692,-0.2529394,-0.201364207,-0.385537863,-0.214564882,F1,1
20200803_0949_blob_783_,0.651740753,-0.731776699,0.391557367,-0.50388879,-0.275449474,-0.119445102,-0.516347039,-0.261560151,F1,1
20200803_0949_blob_788_oil,0.587470972,-0.727514818,0.234286133,-0.482343587,-0.305162596,-0.190143756,-0.498380697,-0.288192626,F1,1
20200803_0949_blob_793_,0.432844829,-0.618146888,0.1449746,-0.467558699,-0.226211722,-0.306825662,-0.377776138,-0.26846116,F1,1
20200803_0949_blob_794_,0.712606413,-0.837712317,0.192868046,-0.463112646,-0.505790946,0.09299195,-0.790920567,-0.333775188,F1,1
20200803_0949_blob_816_,0.532046389,-0.604024779,0.497303353,-0.377108309,-0.239738202,-0.057830035,-0.427703483,-0.280207304,F1,1
20200803_0949_blob_829_,0.346359993,-0.546338174,0.280483906,0.071398426,-0.618359622,0.037657225,-0.704239965,-0.586678011,F1,1
20200803_0949_blob_835_,0.741828883,-0.799068421,-0.001605651,-0.653641363,-0.363668944,0.004895673,-0.588648566,0.009678035,F1,1
20200803_0949_blob_856_,0.470113317,-0.55359031,0.468928494,-0.365994831,-0.20442622,-0.168943973,-0.382161337,-0.342567699,F1,1
20200803_0949_blob_905_,0.583742123,-0.753804844,0.279478257,-0.536851108,-0.283054787,-0.141788159,-0.496683266,-0.311741699,F1,1
20200803_0949_blob_947_,0.498886813,-0.530834469,0.39542649,-0.391368673,-0.109801101,0.113346597,-0.39368199,-0.186389409,F1,1
20200803_0949_blob_961_oil,0.412926211,-0.542644585,0.196101044,-0.448450688,-0.242457436,-0.106271055,-0.356874925,-0.085781001,F1,1
20200803_0949_blob_1280_,-0.555628554,0.627191346,0.086329849,0.607751023,-0.064304112,0.164581232,0.354816753,0.164397072,F2,2
20200803_0949_blob_1355_,-0.453426029,0.344159704,0.159605217,0.261980699,0.274764171,-0.333501227,0.318767605,-0.316966241,F2,2
20200803_0949_blob_814_,-0.328700087,0.241730795,-0.009563935,0.093307327,-0.138940295,-0.081465015,0.130145899,-0.041713207,F2,2
20200803_0949_blob_920_,-0.745806885,0.709215614,0.152017209,0.589075803,0.350857303,-0.138266843,0.508395336,-0.091074871,F2,2
20200803_1535_blob_1005_,-0.867489818,0.891159505,0.18739012,0.840331998,0.165040259,0.094685974,0.568879789,-0.12943076,F2,2
20200803_1535_blob_1007_,-0.547194998,0.59722921,0.320824607,0.343112871,0.34785519,-0.17770672,0.579905004,0.007024245,F2,2
20200803_1535_blob_1011_,-0.405443509,0.457678984,0.1189671,0.431767377,-0.247618763,0.331524409,0.099551434,-0.07740382,F2,2
20200803_1535_blob_1019_oil,-0.708883526,0.841283532,-0.147542395,0.47529783,0.269618491,-0.007219378,0.700798133,0.323685935,F2,2
20200803_1535_blob_1023_,-0.919984528,0.938481598,0.15279168,0.731521177,0.287865947,0.023721274,0.657612474,-0.103177468,F2,2
20200803_1535_blob_1031_,-0.736272779,0.878416729,-0.022189097,0.569636883,0.265419459,0.054728652,0.689459704,0.279207005,F2,2
20200803_1535_blob_1033_,-0.580843234,0.660895595,0.430979981,0.590218764,0.227231202,0.130424904,0.47386378,-0.16694535,F2,2
20200803_1535_blob_1037_,-0.83883399,0.862771849,0.216202665,0.699437962,0.183246573,0.11307871,0.57081341,-0.08508826,F2,2
20200803_1535_blob_1039_,-0.776458069,0.719557204,0.306646761,0.681583897,0.1628872,0.040015836,0.410912925,-0.323088709,F2,2
20200803_1535_blob_1040_,-0.726897045,0.827313166,0.117896888,0.329092003,0.641414585,-0.093765088,0.827276007,0.134580435,F2,2
20200803_1535_blob_1042_,-0.900615448,0.927720797,0.196147532,0.833335099,0.255443009,0.068430662,0.610977401,-0.091319406,F2,2
20200803_1535_blob_1043_,-0.849153261,0.944640744,-0.001599111,0.628667709,0.379560868,-0.0227084,0.746563703,0.18081193,F2,2
20200803_1535_blob_1045_,-0.853551824,0.84691762,0.334773225,0.838843069,0.149381958,0.103032444,0.49393873,-0.250739752,F2,2
20200803_1535_blob_1051_,-0.83835198,0.947690339,-0.00021459,0.498537106,0.521708377,-0.053036251,0.845527959,0.163934884,F2,2
20200803_1535_blob_1053_,-0.858719391,0.876944024,0.286007048,0.847562898,0.159252778,0.119158745,0.525822165,-0.165435079,F2,2
20200803_1535_blob_1055_oil,-0.693974768,0.727011149,0.092541039,0.523380837,0.006478089,0.142159772,0.4797905,0.012206398,F2,2
20200803_1535_blob_1057_,-0.690025538,0.827022472,-0.101407965,0.52927893,0.20426126,0.036036615,0.64300164,0.294724185,F2,2
20200803_1535_blob_1064_,-0.714358191,0.774885675,0.001298608,0.665600214,0.066897505,0.053020209,0.509395081,0.003867882,F2,2
20200803_1535_blob_1067_,-0.552199059,0.668126782,-0.133856571,0.509251798,0.178123619,0.10911278,0.462090565,0.225444138,F2,2
20200803_1535_blob_1069_,-0.798607009,0.867384291,0.241962402,0.479488917,0.547315025,-0.15956342,0.809814611,0.03279798,F2,2
20200803_1535_blob_1075_,-0.911127694,0.969336484,0.066929059,0.709288113,0.391580107,0.013342307,0.7327829,0.03353867,F2,2
20200803_1535_blob_1077_,-0.828439107,0.849618129,0.16738105,0.579498304,0.304599581,0.030204602,0.646011118,-0.084133055,F2,2
20200803_1535_blob_1079_,-0.781547662,0.900812889,-0.040602023,0.527315109,0.294338299,0.010818682,0.718311463,0.228236962,F2,2
20200803_1535_blob_1080_,-0.79951835,0.87167895,0.165738675,0.79264634,0.139031653,0.135298411,0.551219673,-0.00036092,F2,2
20200803_1535_blob_1084_oil,-0.750829998,0.905923983,-0.145423386,0.438732143,0.638052926,-0.094762326,0.891666544,0.37855958,F2,2
