Compound.Name,Model_Properties
20200803_1535_blob_1230_,TRUE
20200803_1535_blob_720_oil,TRUE
20200803_1535_blob_844_,TRUE
20200803_1535_blob_550_oil,TRUE
20200803_1535_blob_506_oil,TRUE
20200803_1535_blob_697_oil,TRUE
20200803_1535_blob_824_,TRUE
20200803_1535_blob_1169_,TRUE
20200803_0949_blob_1144_,TRUE
20200803_1535_blob_1077_,TRUE
20200803_1535_blob_753_,TRUE
20200803_0949_blob_1303_,TRUE
20200803_1535_blob_920_,TRUE
20200803_0949_blob_1434_,TRUE
20200803_0949_blob_1231_,TRUE
20200803_1535_blob_1431_,TRUE
20200803_1535_blob_781_,TRUE
20200803_1535_blob_1217_,TRUE
20200803_1535_blob_780_,TRUE
20200803_0949_blob_696_,TRUE
20200803_0949_blob_654_,TRUE
20200803_1535_blob_1190_,TRUE
20200803_1535_blob_961_,TRUE
20200803_1535_blob_1016_,TRUE
20200803_1535_blob_1194_,TRUE
20200803_0949_blob_660_,TRUE
20200803_1535_blob_673_,TRUE
20200803_0949_blob_1134_,TRUE
20200803_1535_blob_981_,TRUE
20200803_1535_blob_982_,TRUE
20200803_1535_blob_841_,TRUE
20200803_1535_blob_641_,TRUE
20200803_1535_blob_11_,TRUE
20200803_1535_blob_776_,TRUE
20200803_0949_blob_1112_,TRUE
20200803_1535_blob_937_,TRUE
20200803_0949_blob_1407_,TRUE
20200803_1535_blob_990_,TRUE
20200803_1535_blob_1090_,TRUE
20200803_1535_blob_1239_,TRUE
20200803_0949_blob_1462_,TRUE
20200803_1535_blob_988_,TRUE
20200803_1535_blob_882_,TRUE
20200803_1535_blob_796_,TRUE
20200803_1535_blob_791_,TRUE
20200803_1535_blob_763_,TRUE
20200803_0949_blob_2202_,TRUE
20200803_1535_blob_754_,TRUE
20200803_1535_blob_1017_,TRUE
20200803_1535_blob_668_,TRUE
20200803_1535_blob_708_,TRUE
20200803_1535_blob_693_,TRUE
20200803_1535_blob_911_,TRUE
20200803_1535_blob_916_,TRUE
20200803_1535_blob_994_,TRUE
20200803_1535_blob_942_,TRUE
20200803_1535_blob_1153_,TRUE
20200803_0949_blob_1477_,TRUE
20200803_1535_blob_889_,TRUE
20200803_0949_blob_1458_,TRUE
20200803_1535_blob_1148_oil,TRUE
20200803_1535_blob_1550_,TRUE
20200803_1535_blob_1084_oil,TRUE
20200803_1535_blob_1072_oil,TRUE
20200803_1535_blob_1167_oil,TRUE
20200803_1535_blob_1124_oil,TRUE
20200803_1535_blob_852_,TRUE
20200803_1535_blob_971_,TRUE
20200803_0949_blob_911_,TRUE
20200803_1535_blob_819_oil,TRUE
20200803_1535_blob_787_,TRUE
20200803_1535_blob_675_oil,TRUE
20200803_1535_blob_897_,TRUE
20200803_1535_blob_1139_,TRUE
20200803_1535_blob_1149_,TRUE
20200803_1535_blob_1168_,TRUE
20200803_1535_blob_1241_,TRUE
20200803_1535_blob_728_,TRUE
20200803_1535_blob_906_,TRUE
20200803_1535_blob_858_,TRUE
20200803_1535_blob_760_,TRUE
20200803_1535_blob_670_,TRUE
20200803_0949_blob_663_,TRUE
20200803_1535_blob_808_,TRUE
20200803_1535_blob_927_,TRUE
20200803_1535_blob_1203_,TRUE
20200803_1535_blob_730_,TRUE
20200803_1535_blob_779_,TRUE
20200803_1535_blob_660_,TRUE
20200803_1535_blob_715_,TRUE
20200803_1535_blob_761_,TRUE
20200803_1535_blob_747_,TRUE
20200803_1535_blob_935_,TRUE
20200803_0949_blob_1474_,TRUE
20200803_0949_blob_1295_,TRUE
20200803_1535_blob_1118_,TRUE
20200803_1535_blob_533_,TRUE
20200803_1535_blob_1141_,TRUE
20200803_1535_blob_1154_,TRUE
20200803_1535_blob_904_,TRUE
20200803_1535_blob_1198_,TRUE
20200803_1535_blob_845_oil,TRUE
20200803_1535_blob_756_oil,TRUE
20200803_1535_blob_896_oil,TRUE
20200803_1535_blob_823_oil,TRUE
20200803_1535_blob_854_oil,TRUE
20200803_1535_blob_913_oil,TRUE
20200803_1535_blob_1054_,TRUE
